url,название,фото,калорийность_ккал,белки_г,жиры_г,углеводы_г,ингредиенты,метод_приготовления,категория,кухня,время_приготовления,время_подготовки,количество_порций,категория_запроса
https://food.ru/recipes/1530-pankeiki,Панкейки,https://cdn.food.ru/unsigned/fit/640/480/ce/0/czM6Ly9tZWRpYS9waWN0dXJlcy9yZWNpcGVzLzE1MzAvY292ZXJzLzREVGZHMy5qcGc.jpg,261.87,6.19,11.58,33.26,"Пшеничная мука хлебопекарная 200 г
Сахар 40 г
Куриное яйцо 1 шт. = 60 г
Молоко 200 мл = 200 г
Соль 1 г
Оливковое масло 50 мл = 50 г
Разрыхлитель теста 5 г","1. Подготовьте миксер и сковороду для блинов.
2. Соедините все сухие ингредиенты, добавьте яйцо и перемешайте с помощью миксера. Добавьте молоко и масло и снова перемешайте миксером.
3. Разогрейте сковороду и обжаривайте панкейки на среднем огне без масла.",панкейки,американская,30 мин,30 мин,3 порции,десерты
https://food.ru/recipes/156416-chizkeik-iz-maskarpone-i-sgushchenki,Чизкейк из маскарпоне и сгущенки,https://cdn.food.ru/unsigned/fit/640/480/ce/0/czM6Ly9tZWRpYS9waWN0dXJlcy9yZWNpcGVzLzE1NjQxNi9jb3ZlcnMvcHpOUVRBLmpwZWc.jpg,408.22,5.36,32.67,23.31,"Песочное печенье 300 г
Сливочное масло 150 г
Сыр маскарпоне 500 г
Ванилин 0,5 ч. л. = 2,5 г
Молотая корица 1 ч. л. = 3 г
Сливки 300 мл = 300 г
Вареное сгущенное молоко 200 г
Порошковый желатин 1 ст. л. = 15 г
Брусничный соус по желанию","1. Достаньте все ингредиенты из холодильника заранее, чтобы они согрелись. Достаньте блендер.
2. Сделайте основу. Печенье измельчите. Разотрите с размягченным маслом. Выложите в форму и утрамбуйте.
3. Приготовьте начинку. В чашу блендера положите маскарпоне. Влейте сливки и сгущенку. Добавьте корицу и ванилин. Взбейте. Разведите желатин водой. Дайте ему набухнуть и влейте в блендер. Взбейте еще раз.
4. Вылейте начинку на тесто. Затяните пленкой ""в контакт"" и отправьте в холодильник на несколько часов.
5. Подайте чизкейк, дополнив его брусничным соусом.",чизкейк,интернациональная,30 мин,30 мин,6 порций,десерты
https://food.ru/recipes/149345-cosmicheskiy-cheescake-s-golubikoy,Космический чизкейк с голубикой,https://cdn.food.ru/unsigned/fit/640/480/ce/0/czM6Ly9tZWRpYS9waWN0dXJlcy8yMDIyMTAxMy80WHYzdUMuanBlZw.jpg,299.29,4.28,20.07,23.98,"Печенье 250 г
Сливочное масло 100 г
Порошковый желатин 10 г
Сливки 30% жирности 350 мл = 350 г
Творожный сыр 400 г
Сахарная пудра 150 г
Экстракт ванили 1 ч. л. = 7 г
Лимон 0,5 шт. = 60 г
Порошковый желатин 8 г
Вода 240 мл = 240 г
Сахар 20 г
Пищевой краситель по желанию
Голубика по вкусу","1. Подготовьте миксер, металлическую форму (D20) и кондитерскую лопатку.
2. Печенье измельчите в блендере до состояния крошки.
3. Добавьте в печенье мягкое сливочное масло, хорошо перемешайте.
4. Выложите массу печенья на дно металлической формы и уберите в холодильник.
5. Замочите 10 г порошкового желатина в 70 мл воды и дайте набухнуть.
6. Творожный сыр смешайте с сахарной пудрой, соком половины лимона и ванильным экстрактом. Хорошо перемешайте, лучше миксером.
7. Сливки взбейте до состояния мягких пиков. Лучше всего взбивать очень холодные сливки.
8. Набухший желатин растворите в микроволновке (секунд 10) и добавьте его в массу к творожному сыру. Перемешайте все до однородной массы. Аккуратно смешайте взбитые сливки и творожную массу.
9. Выложите в форму на песочную основу готовую массу чизкейка, разровняйте,чуть потряхивая форму. Уберите в холодильник минут на 30.
10. 8 г желатина для желе растворите в 30 мл воды и дайте набухнуть.
11. 240 мл воды подогрейте до состояния теплой. Добавьте сахар и краситель. Перемешайте, чтобы вода стала красивого голубого цвета.
12. В теплую воду добавьте желатин и перемешайте.
13. Достаньте чизкейк из холодильника, выложите на поверхность ягоды голубики. Залейте голубой водой с желатином ягоды на половину (чтобы они держались на поверхности, не всплыли) и уберите в холодильник, пока поверхность не «схватится».
14. Через 15–20 минут достаньте чизкейк и полностью залейте голубым желе все ягоды. Подождите, пока чизкейк застынет до конца.
15. Подавайте в качестве десерта, нарезая порционно на кусочки. В разрезе десерт получается очень красивым.",чизкейк,американская,150 мин,40 мин,8 порций,десерты
https://food.ru/recipes/129105-postnyi-tort-brauni,Постный торт брауни,https://cdn.food.ru/unsigned/fit/640/480/ce/0/czM6Ly9tZWRpYS9waWN0dXJlcy9yZWNpcGVzLzEyOTEwNS9jb3ZlcnMvMzRGN2FqLmpwZWc.jpg,379.46,4.74,22.69,41.69,"Вода 1 стакан = 200 г
Пшеничная мука хлебопекарная 2 стакан = 260 г
Сахар 1 стакан = 180 г
Какао-порошок 2,5 ст. л. = 62,5 г
Разрыхлитель теста 1 ч. л. = 5 г
Соль 0,3 ч. л. = 2,1 г
Растительное масло 1 стакан = 190 г
Ванилин 1 г","1. Подготовьте продукты для приготовления постной выпечки. Муку просейте. Вода должна быть кипяченой, комнатной температуры.Совет: Форму для запекания можно не смазывать, так как тесто само по себе маслянистое.
2. Сделайте тесто для брауни. В чашу выложите сахар, какао, ванилин, разрыхлитель, соль и муку. Влейте растительное масло и воду. Смешайте ингредиенты в густую массу.
3. Испеките постный пирог. Выложите тесто в форму, разровняйте. Духовку нагрейте до 180℃. Поставьте форму на противень. Запекайте 20-25 минут.
4. Постный торт брауни остудите, переложите на блюдо, нарежьте на кусочки и приступайте к дегустации.",торты,американская,35 мин,15 мин,8 порций,десерты
https://food.ru/recipes/209678-chizkeyk-san-sebastjan,Чизкейк «Сан-Себастьян»,https://cdn.food.ru/unsigned/fit/640/480/ce/0/czM6Ly9tZWRpYS9waWN0dXJlcy8yMDI0MDIyOC8zUjdZQXUuanBlZw.jpg,293.92,5.36,22.23,15.77,"Творожный сыр 770 г
Сахар 200 г
Кукурузный крахмал 16 г
Ваниль 0,5 шт. = 2 г
Яйца 4 шт. = 240 г
Сливки 33% жирности 360 г","1. Заранее выложите яйца, творожный сыр и сливки из холодильника. Также вам понадобятся фольга, пергамент и форма-кольцо (мы использовали форму диаметром 20 см). Перед выпеканием разогрейте духовку до 220°С.
2. Оберните кольцо фольгой. Затем сомните два листа пергамента и застелите форму вместе с бортиками.
3. Соедините в миске творожный сыр, сахар и крахмал, перемешайте массу до однородности.
4. По одному введите в смесь яйца и перемешайте массу до однородности.
5. Разрежьте стручок ванили вдоль, соскоблите семена и добавьте их в сырную массу.
6. Влейте сливки в сырную массу, хорошо перемешайте.
7. Продегустируйте будущий чизкейк, если вы любите пробовать сырое тесто для маминой шарлотки.
8. Помогая себе лопаткой, протрите массу через сито в форму для выпекания. Так текстура чизкейка получится равномерной и чуть ли не шелковой. Если пропустить этот шаг, то могут остаться комочки.
9. Выпекайте чизкейк в течение 25 минут при 220°С до румяной корочки. После этого дайте десерту остыть до комнатной температуры. Затем уберите его в холодильник минимум на 12 часов или на ночь.
10. Кстати, верхушка чизкейка обязательно подгорит и будет достаточно темной. Также не переживайте, что края получатся неровными — в этом и задумка!
11. Подайте чизкейк с чашечкой чая или кофе. Этот чизкейк не похож на обычный — тут нет песочной основы, а сама текстура получается очень нежной и буквально тает во рту!",чизкейк с творожным сыром,"интернациональная, испанская",765 мин,20 мин,1 штука,десерты
https://food.ru/recipes/208597-prjaniki-shokoladnye,Шоколадное печенье,https://cdn.food.ru/unsigned/fit/640/480/ce/0/czM6Ly9tZWRpYS9waWN0dXJlcy8yMDI0MDIwMy9Cc01wUEIuanBlZw.jpg,401.88,6.64,17.56,55.93,"Сливочное масло 90 г
Сахар 180 г
Куриное яйцо 1 шт. = 60 г
Ванильный сахар 1 ч. л. = 8 г
Пшеничная мука хлебопекарная 130 г
Какао 53,3 г
Разрыхлитель теста 0,5 ч. л. = 2,5 г
Соль 1 щепотка = 1 г
Какао по желанию","1. Просейте муку. Помойте куриное яйцо. Достаньте из холодильника сливочное масло заранее, чтобы оно стало мягким. Перед выпеканием разогрейте духовку до 180°. Застелите противень пергаментом.
2. Смешайте венчиком или миксером сливочное масло с сахаром.
3. Добавьте в масляную смесь яйцо и ванильный сахар. Хорошо перемешайте, пока масса не станет однородной.
4. Смешайте в отдельной миске муку, какао, разрыхлитель и соль.
5. Добавьте мучную смесь к масляной. Замесите густое однородное тесто.
6. Скатайте из теста шарики и выложите на противень. Отправьте в духовку на 10 минут.
7. Подайте печенье с чашкой какао, кофе или чая.",печенье с какао,русская,30 мин,20 мин,9 штук,десерты
https://food.ru/recipes/1328-tort-krasnyi-barhat,Торт «Красный бархат»,https://cdn.food.ru/unsigned/fit/640/480/ce/0/czM6Ly9tZWRpYS9waWN0dXJlcy9yZWNpcGVzLzEzMjgvY292ZXJzLzNoc2s4dS5qcGc.jpg,389.02,8.24,25.62,33.22,"Пшеничная мука хлебопекарная 340 г
Сахар 300 г
Какао-порошок 20 г
Соль 2 г
Разрыхлитель теста 5 г
Сода 2 г
Куриное яйцо 3 шт. = 180 г
Кефир 3,2% 280 мл = 280 г
Подсолнечное масло рафинированное 300 г
Пищевой краситель 1 г
Сливочное масло 100 г
Сахарная пудра 100 г
Сливочный сыр 350 г","1. Дважды просейте все сухие продукты для бисквита. Заранее достаньте все ингредиенты из холодильника, кроме сливочного сыра. Разогрейте духовку до 200°C.
2. Приготовьте коржи: к просеянным ингредиентам добавьте все остальные продукты для бисквита.
3. Взбивайте тесто миксером на средней скорости до однородной консистенции в течение 4-5 минут. Взбитое тесто оставьте на 5 минут, затем разделите его на 2 равные части.
4. Дно разъемной формы для выпечки диаметром 20 см застелите пергаментом, стенки смажьте маслом. По очереди выпекайте коржи при 200°C по 20 минут. Готовые бисквиты полностью остудите.
5. Коржи при выпечке поднимутся, но для торта необходимы плоские бисквиты, поэтому срежьте верхушки у коржей и измельчите их в крошку, а сами коржи разрежьте на 2-3 части.
6. Приготовьте крем: взбивайте миксером размягченное сливочное масло 2-3 минуты на большой скорости. Затем добавьте сахарную пудру и продолжайте взбивать еще 1,5-2 минуты.
7. Взбитое масло соедините с охлажденным сливочным сыром и перемешайте.
8. Переложите крем в кондитерский мешок, срежьте уголок и начинайте отсаживать крем на нижний корж по кругу, отступив от краев 0,5 см. Разровняйте крем и накройте вторым коржом, затем слегка прижмите его доской, чтобы крем равномерно распределился.
9. Верх и бока торта смажьте тонким слоем крема, присыпьте крошкой и отправьте в холодильник на несколько часов или на всю ночь.",торты,американская,150 мин,60 мин,10 порций,десерты
https://food.ru/recipes/15743-domashnii-medovik,Домашний «Медовик»,https://cdn.food.ru/unsigned/fit/640/480/ce/0/czM6Ly9tZWRpYS9waWN0dXJlcy9yZWNpcGVzLzE1NzQzL2NvdmVycy8zWjNkdlguanBn.jpg,310.25,5.47,16.62,34.35,"Сливочное масло 125 г
Сахар 50 г
Мед 70 г
Сода 3 г
Куриное яйцо 2 шт. = 120 г
Пшеничная мука хлебопекарная 420 г
Сметана 20% жирности 500 г
Ванильный сахар 50 г","1. Просейте муку. Сливочное масло нарежьте крупными кубиками. Разогрейте духовку до 200°C.
2. Приготовьте коржи: на водяной бане растопите сливочное масло, добавьте сахар, мед и нагревайте смесь, постоянно помешивая, чтобы получилась однородная масса.
3. Добавьте соду и взбейте венчиком до осветления и увеличения массы в объеме. Снимите с водяной бани и остудите.
4. Добавьте к остывшей смеси яйца и хорошенько перемешайте, затем всыпьте муку и замесите тесто. Готовое тесто заверните в пищевую пленку и оставьте на 10 минут.
5. Разделите тесто на 8-10 равных частей. Раскатывайте по тонкому коржу прямо на противне, делайте несколько проколов вилкой и выпекайте по одному при 200°C по 2-3 минуты до характерного медового цвета.
6. В горячем виде обрежьте края коржей по форме будущего торта (излишки сохраните). Готовые коржи раскладывайте по отдельности, не складывайте один на один горячими, иначе они могут прилипнуть друг к другу.
7. Приготовьте крем: соедините холодную сметану с сахаром и взбейте миксером до пиков.
8. Прослоите коржи кремом, чуть придавливая каждый сверху. Верх медовика украсьте измельченными остатками коржей.
9. Отправьте торт в холодильник на 2 часа, затем нарежьте на порции и подавайте.",торты,русская,180 мин,60 мин,12 порций,десерты
https://food.ru/recipes/218385-chizkeik-v-kruzhke-za-3-minuty,Чизкейк в кружке за 3 минуты,https://cdn.food.ru/unsigned/fit/640/480/ce/0/czM6Ly9tZWRpYS9waWN0dXJlcy8yMDI0MDgzMC9MOWtCUWcuanBlZw.jpg,217.18,8.22,15.05,9.54,"Куриное яйцо 1 шт. = 60 г
Творожный сыр 100 г
Йогурт натуральный 0,25 стакан = 50 г
Кукурузный крахмал 1 ч. л. = 10 г
Ванилин 1 щепотка = 1 г
Сахар 1 ч. л. = 8 г
Варенье по вкусу
Мята по вкусу","1. Помойте куриное яйцо. Отмерьте нужное количество всех ингредиентов. Подготовьте кружку.
2. Смешайте в миске куриное яйцо с творожным сыром и натуральным йогуртом при помощи венчика.
3. Добавьте крахмал, ванилин и сахар. Тщательно перемешайте.
4. Переложите массу в кружку так, чтобы кружка была заполнена наполовину. Отправьте ее в микроволновку на 3 минуты при максимальной мощности.
5. Переверните кружку на тарелку, чтобы достать чизкейк, полейте его вареньем и украсьте мятой.",чизкейк,европейская,10 мин,5 мин,2 порции,десерты
https://food.ru/recipes/175659-iagodnyi-tvorozhnyi-chizkeik,ПП-чизкейк без выпечки,https://cdn.food.ru/unsigned/fit/640/480/ce/0/czM6Ly9tZWRpYS9waWN0dXJlcy8yMDIzMDcwMy9xZXBMUEQuanBlZw.jpg,109.85,8.01,2.1,14.77,"Овсяные хлопья 100 г
Банан 1 шт. = 150 г
Творог 400 г
Йогурт натуральный 170 г
Малина 200 г
Порошковый желатин 10 г
Вода 100 мл = 100 г
Мед 3 ст. л. = 84 г
Голубика 200 г","1. Помойте малину и голубику. Очистите банан. Приготовьте форму и блендер.
2. Банан пюрируйте в блендере. Овсянку измельчите в муку и добавьте к банану. Перемешайте. Выложите основу в форму и утрамбуйте, формируя бортики.
3. Творог, йогурт и малину смешайте в блендере до однородной массы, по вкусу добавьте в начинку мед. Распустите желатин в горячей кипяченой воде до растворения, добавьте к творожной основе. Еще раз пробейте блендером.
4. Залейте чизкейк в форму 24 см и отправьте в холодильник до застывания (лучше всего на ночь).
5. Подавайте с горячим чаем или кофе. Перед подачей украсьте ягодами голубики.",чизкейк,интернациональная,520 мин,40 мин,6 порций,десерты
