категория,название,ссылка,калории,белки,жиры,углеводы
Готовая еда,49.Пирожок печеный Вак бэлиш с мясом и рисом 100г,https://magnit.ru/product/1000027714-pirozhok_pechenyy_vak_belish_s_myasom_i_risom_100g_kulinariya,260.0,11.4,6.1,38.9
Готовая еда,99.Пирожок печёный Элеш с начинкой из мяса курицы и картофелем 200г,https://magnit.ru/product/1000127914-pirozhok_pechyenyy_elesh_s_nach_iz_myasa_kur_i_kart_0_2kg_sp_gm,200.0,5.6,,32.2
Готовая еда,21.Сдоба Смаковница 100г,https://magnit.ru/product/1000022170-sdoba_smakovnitsa_100g_kulinariya,290.0,7.4,8.0,47.5
Готовая еда,69.Сдоба с изюмом ХК Лавина 250г,https://magnit.ru/product/1000010649-sdoba_s_izyumom_0_25kg_p_up_lavina,350.0,7.0,8.0,62.0
Готовая еда,39.Лаваш Кавказский 350г4.8· 34 отзыва,https://magnit.ru/product/1000095996-lavash_kavkazskiy_350g_kulinariya,250.0,8.5,1.0,52.5
Готовая еда,149.Пирожное Трубочка слоеная с Крем-брюле Золотой колос 150г,https://magnit.ru/product/1000122156-pirozhnoe_trubochka_sloenaya_s_krem_bryule_150g_pl_u_abacharaev,412.0,5.5,25.6,39.8
Готовая еда,38.Пирожок с черной смородиной 70г,https://magnit.ru/product/1000059773-pirozhok_s_chernoy_smorodinoy_70g_p_up_gukovskaya_m_yu,298.0,7.2,5.7,54.7
Готовая еда,49.129.Сосиска в тесте 100г,https://magnit.ru/product/1000105980-pirozhok_pechenyy_sosiska_v_teste_0_1_kg_polietilenovyy_paket_sp_gm,300.0,11.0,16.5,27.0
Готовая еда,99.Пирожное Тирамису Метрополис 100г4.8· 22 отзыва,https://magnit.ru/product/1000105866-pirozhnoe_tiramisu_0_1kg_korreks_metropolis,260.0,3.5,13.0,33.0
Готовая еда,36.Слойка с творогом 70г4.9· 21 отзыв,https://magnit.ru/product/1000096257-sloyka_s_tvorogom_0_07kg_fl_p_gukovskaya_60,470.0,8.4,27.8,46.4
Готовая еда,159.Чиабатта с мясом птицы 200г,https://magnit.ru/product/1000246863-chiabatta_s_myasom_ptitsy_sht_chiabatta_s_ptitsey_0_2kg_neupakovan_sp_gm,300.3,9.2,18.5,24.0
Готовая еда,19.Булочка бутербродная Мультизлаковая 60г4.9· 134 отзыва,https://magnit.ru/product/1000289894-bulochka_buterbrodnaya_multizlak_0_06kg_polietilenovaya_upakovka_sp_gm,340.0,13.0,7.0,55.0
Готовая еда,53.Пирог Хачапури из слоеного бездрожжевого теста 107г,https://magnit.ru/product/1000272195-pirog_iz_sloenogo_bezdrozhzhevogo_testa_khachapuri_0_107kg_polietilenovaya_upakovka_sp_gm,335.0,10.1,19.6,28.5
Готовая еда,236.Мойва маринованная200г · 1кг,https://magnit.ru/product/1000264614-moyva_marinovannaya_1kg_v_neupakovan_sp_gm,146.0,11.5,10.5,1.4
Готовая еда,199.Пирожные Султанские Метрополис 230г4.6· 24 отзыва,https://magnit.ru/product/1000195047-metropolis_pirozhnye_sultansk_mini_0_23_kg_pl_kon_metropolis,340.0,4.0,18.0,30.0
Готовая еда,149.Салат Фаворит300г499. · 1кг,https://magnit.ru/product/1000310551-salat_salat_favorit_ms_1kg_v_ne_upakovan_sp_gm,192.0,5.8,16.3,5.5
Готовая еда,59.129.Пирожок печеный Пикник с сосиской 120г,https://magnit.ru/product/1000197749-khbi_pirozhok_pechenyy_piknik_s_sosiskoy_0_12_kg_polietilenovyy_paket_sp_gm,28.0,10.3,17.0,
Готовая еда,239.Котлета куриная Загадка300г799. · 1кг,https://magnit.ru/product/1000310665-kotleta_kotleta_kurinaya_zagadka_ms_1kg_v_ne_upakovan_sp_gm,260.0,12.5,17.8,12.5
Готовая еда,94.119.Баклажаны по-корейски 200г,https://magnit.ru/product/1000297798-baklazhany_po_koreyski_200g_plastikovaya_banka_6,,,,
Готовая еда,119.Салат Винегрет овощной300г399. · 1кг,https://magnit.ru/product/1000310548-vinegret_vinegret_ovoshchnoy_ms_1kg_v_ne_upakovan_sp_gm,116.0,1.3,8.0,9.4
Готовая еда,79.Сочник с начинкой из чёрной смородины Аютинский хлеб 120г5· 2 отзыва,https://magnit.ru/product/1000342401-ayutinskiy_khleb_sochnik_s_nachinkoy_iz_chyernoy_smorodiny_v_s_pshenichnaya_0_120kg_floupak_ip_gukov,316.0,4.1,9.5,53.5
Готовая еда,59.99.Яблочно-морковный сок прямого отжима 300мл4.4· 2 отзыва,https://magnit.ru/product/1000286870-sok_yabloko_morkov_pryamogo_otzhima_0_3l_plastikovaya_butylka_sp_gm,40.0,0.6,0.3,8.8
Готовая еда,99.Салат По-монастырски250г399. · 1кг,https://magnit.ru/product/1000358889-salat_po_monastyrski_ms_1kg_v_ne_upakovan_sp_gm,65.0,1.7,4.0,5.6
Готовая еда,59.Сок яблочный прямого отжима 300мл,https://magnit.ru/product/1000324947-sok_pryamogo_otzhima_yabloko_0_3l_0_3kg_ne_upakovan_sp_gm,38.0,,,9.5
Готовая еда,329.Эклеры с заварным кремом Mirel 250г4.6· 33 отзыва,https://magnit.ru/product/1000376140-mirel_pirozhnye_0104060186_eklery_s_zavarnym_kremom_250g_korreks_oao_khlebprom,375.0,6.6,21.1,39.6
Готовая еда,209.Салат Мюнхен300г699. · 1кг,https://magnit.ru/product/1000361466-salat_myunkhen_ms_1kg_v_ne_upakovan_sp_gm,146.0,6.6,10.3,6.7
Готовая еда,42.Слойка с вишней Краснодарский хлебозавод №6 70г,https://magnit.ru/product/1000400053-sloyka_s_vishney_0_07kg_p_p_krasnodarskiy_khz_6,370.0,7.0,9.0,66.0
Готовая еда,199.Стрипсы куриные250г799. · 1кг,https://magnit.ru/product/1000373160-stritsy_ms_1kg_v_ne_upakovan_sp_gm,327.0,21.0,16.2,24.1
Готовая еда,59.89.Булочки Домашние с яблочной начинкой Аютинский хлеб 200г4.8· 62 отзыва,https://magnit.ru/product/1000451492-bulochki_domashnie_s_yablochnoy_nachinkoy_0_2_kg_p_up_gukovskaya,222.0,4.4,4.0,42.2
Готовая еда,139.164.Сэндвич Классический с ветчиной и сыром 170г,https://magnit.ru/product/1000452977-merito_sendvich_klassicheskiy_vetchina_syr_0_17kg_kor,267.0,14.8,13.5,21.5
Готовая еда,239.Крем-суп Овощной 1л4.5· 3 отзыва,https://magnit.ru/product/1000454690-ovoshchnoy_krem_sup_1l,,,,
