url,название,фото,калорийность_ккал,белки_г,жиры_г,углеводы_г,ингредиенты,метод_приготовления,категория,кухня,время_приготовления,время_подготовки,количество_порций,категория_запроса
https://food.ru/recipes/540-tonkie-bliny,Тонкие блины,https://cdn.food.ru/unsigned/fit/640/480/ce/0/czM6Ly9tZWRpYS9waWN0dXJlcy9yZWNpcGVzLzU0MC9jb3ZlcnMvM25jQkFrLkpQRw.jpg,163.47,5.14,5.14,24.39,"Пшеничная мука хлебопекарная 250 г
Куриное яйцо 2 шт. = 120 г
Молоко 250 мл = 250 г
Растительное масло 1,5 ст. л. = 25,5 г
Соль 0,5 ч. л. = 3,5 г
Сахар 2 ст. л. = 50 г
Вода 250 г
Сливочное масло по вкусу
Сметана по вкусу","1. Подготовьте продукты. Заранее достаньте молоко и яйца из холодильника, чтобы к моменту готовки они были комнатной температуры.
2. Начните готовить тесто для тонких блинов. Смешайте яйца с половиной стакана молока. Всыпьте в тесто муку, перемешивайте так, чтобы разбить комочки. Добавьте соль и сахар.
3. Добавьте в тесто оставшееся молоко, снова перемешайте, добавьте воду, продолжая взбивать тесто. Когда масса станет однородной, добавьте растительное масло и снова перемешайте.
4. Растопите сковороду с растительным маслом. Налейте на середину тесто и распределите его по поверхности. Выпекайте блины по 30 секунд с каждой стороны.
5. Когда все блинчики будут готовы, подайте их на стол выложенной стопочкой. По желанию каждый блин можно смазать сливочным маслом. Приятного аппетита!
6. Чтобы блюдо выглядело как ресторанное, сложите блинчики треугольниками. Подайте сметану или варенье в соуснице.",блины,русская,20 мин,20 мин,3 порции,закуски
https://food.ru/recipes/1580-shaurma,Шаурма,https://cdn.food.ru/unsigned/fit/640/480/ce/0/czM6Ly9tZWRpYS9waWN0dXJlcy9yZWNpcGVzLzE1ODAvY292ZXJzL1VMbzk2Qi5qcGc.jpg,100.48,8.72,3.25,9.26,"Куриная грудка 2 шт. = 800 г
Болгарский перец 1 шт. = 150 г
Огурец 2 шт. = 240 г
Помидор 2 шт. = 180 г
Белокочанная капуста 1 шт. = 890 г
Армянский лаваш 3 шт. = 300 г
Чеснок 4 зубчик = 20 г
Сметана 100 г
Сахар 4 г
Специи для курицы 4 г
Растительное масло 50 мл = 50 г
Петрушка 60 г
Соль по вкусу
Черный перец молотый по вкусу","1. Куриные грудки, перец и помидоры нарежьте кубиками. Тонко нашинкуйте капусту, огурец нарежьте соломкой. Мелко порубите петрушку, натрите на мелкой терке чеснок.
2. Для соуса смешайте сметану с петрушкой, чесноком, сахаром, солью и перцем.
3. Грудки присыпьте специями для курицы, хорошо перемешайте и обжарьте на сковороде с разогретым маслом до золотистой корочки. Готовые грудки нарежьте еще мельче.
4. Лаваш нужной длины смажьте получившимся соусом, выложите на него курицу, овощи, заверните и обжарьте на сухой сковороде на растительном масле до хрустящей корочки с каждой стороны.",шаурма,арабская,30 мин,30 мин,3 порции,закуски
https://food.ru/recipes/185160-shawarma-po-domashnemu,Шаурма по-домашнему,https://cdn.food.ru/unsigned/fit/640/480/ce/0/czM6Ly9tZWRpYS9waWN0dXJlcy8yMDIzMDgyNC80M29ld1EuanBlZw.jpg,154.26,12.37,7.81,8.6,"Куриная грудка 2 шт. = 800 г
Оливковое масло 3 ст. л. = 51 г
Молотая паприка 1 ч. л. = 3 г
Армянский лаваш 2 шт. = 200 г
Чеснок 3 зубчик = 15 г
Помидор 2 шт. = 180 г
Огурец 2 шт. = 240 г
Репчатый лук 1 шт. = 80 г
Майонез 4 ст. л. = 100 г
Греческий йогурт 4 ст. л. = 100 г
Лимонный сок 1 ст. л. = 18 г
Соль по вкусу","1. Подготовьте все ингредиенты и тщательно помойте овощи.
2. Мелко нашинкуйте чеснок и поделите его на две части: одна понадобится для маринада, вторая — для соуса. В миске смешайте оливковое масло, измельченный чеснок, паприку, соль и перец. Хорошо перемешайте, чтобы получился маринад. Тонко нарежьте курицу, добавьте ее в маринад, перемешайте и оставьте в холодильнике на 40–60 минут.
3. В другой миске приготовьте соус: смешайте майонез, греческий йогурт, чеснок, лимонный сок и соль. Добавьте приправы по вкусу.
4. Разогрейте гриль или сковороду на среднем огне. Готовьте мясо, периодически переворачивая, пока оно полностью не прожарится и не подрумянится — на это уйдет 5–7 минут. Снимите готовую курицу с огня и отложите ее в сторону.
5. Нарежьте помидоры, огурцы и лук тонкой соломкой. Разогрейте лаваш на сухой сковороде или на гриле в течение 30 секунд с каждой стороны. Намажьте соус на лаваш, а затем выложите на него овощи и курицу.
6. Сложите лаваш с начинкой так, чтобы из него получился ролл или конвертик, и подавайте на стол.",шаурма,ближневосточная,90 мин,30 мин,2 порции,закуски
https://food.ru/recipes/237648-salat-s-tuncom-v-tartaletkah,Тарталетки с тунцом,https://cdn.food.ru/unsigned/fit/640/480/ce/0/czM6Ly9tZWRpYS9waWN0dXJlcy8yMDI0MTIxMi9jZm84QjIuanBlZw.jpg,112.72,10.14,5.03,6.84,"Тарталетки 10 шт. = 30 г
Тунец 100 г
Куриное яйцо 1 шт. = 60 г
Огурец 100 г
Репчатый лук 40 г
Укроп 15 г
Черный перец молотый по вкусу
Майонез по вкусу
Укроп по желанию","1. Помойте огурец, лук и укроп. Снимите с лука шелуху.
2. Отварите яйцо вкрутую в кипящей воде в течение 10 минут. Остудите, залив холодной водой. Затем очистите от скорлупы и измельчите.
3. Нарежьте огурцы и лук мелкими кубиками.
4. Снимите укроп с веточек и измельчите. Выложите тунец из банки и разомните вилкой.
5. Положите все измельченные ингредиенты в одну миску, добавив черный перец. Заправьте салат майонезом и тщательно перемешайте.
6. Разложите начинку по тарталеткам, наполняя их с горкой.
7. Украсьте тарталетки с тунцом веточками укропа.",холодные закуски,русская,20 мин,10 мин,10 штук,закуски
https://food.ru/recipes/238204-hachapuri-iz-sosisok,Хачапури из сосисок,https://cdn.food.ru/unsigned/fit/640/480/ce/0/czM6Ly9tZWRpYS9waWN0dXJlcy8yMDI0MTIxNy81bWJ1ZmcuanBlZw.jpg,294.58,13.08,20.9,14.81,"Слоеное тесто 250 г
Сосиски 240 г
Моцарелла 100 г
Сулугуни 100 г
Желток куриного яйца 1 шт. = 17 г
Зелень по желанию
Помидоры черри по желанию","1. Разморозьте тесто. Очистите сосиски от пленочек. Застелите противень пергаментом.
2. Раскатайте тесто в пласт толщиной 3 мм. На углы положите по сосиске и заверните их в тесто так, чтобы получился квадрат с бортиками из сосисок в тесте. Переложите его на противень.
3. Натрите на средней терке сулугуни и моцареллу, перемешайте их. Выложите ¾ сыра на тесто. Отправьте противень в разогретую до 180 °C духовку на 20 минут.
4. Выложите на выпечку оставшийся сыр. Аккуратно добавьте желток в центр. Верните хачапури в духовку еще на 2-3 минуты.
5. Подавайте хачапури со свежей зеленью, помидорами черри и соусом по вкусу.",хачапури из слоёного теста,грузинская,45 мин,20 мин,1 штука,закуски
https://food.ru/recipes/139692-krylyshkii-v-soevo-medovom-souse,Крылышки в соево-медовом соусе,https://cdn.food.ru/unsigned/fit/640/480/ce/0/czM6Ly9tZWRpYS9waWN0dXJlcy8yMDIyMDQyMS8zOFRjd3IuanBlZw.jpg,138.49,15.81,9.28,4.79,"Куриные крылья 9 шт. = 900 г
Соевый соус 200 мл = 200 г
Кетчуп 2 ст. л. = 44 г
Мед 1,5 ст. л. = 42 г
Аджика 0,5 ч. л. = 8,5 г
Смесь перцев по вкусу
Кунжут по вкусу
Чеснок 2 зубчик = 10 г","1. Подготовьте все ингредиенты.
2. Разрезаем крылышки, делим на две части.
3. Для маринада смешиваем соевый соус, мед, аджику, чеснок, кетчуп и смесь перцев.
4. Маринуем крылышки, убираем в холодильник на час.
5. Выкладываем на форму для выпечки, сверху поливаем маринадом, посыпаем кунжутными семечками и отправляем в разогретую до 200 градусов духовк на 40 минут (режим вверх и вниз).",закуски,интернациональная,120 мин,30 мин,9 штук,закуски
https://food.ru/recipes/197-hachapuri-po-adzharski,Хачапури по-аджарски,https://cdn.food.ru/unsigned/fit/640/480/ce/0/czM6Ly9tZWRpYS9waWN0dXJlcy9yZWNpcGVzLzE5Ny9jb3ZlcnMvcEJ1WFhlLmpwZw.jpg,322.49,11.3,21.5,20.95,"Дрожжевое тесто сдобное 400 г
Сулугуни 150 г
Сыр адыгейский 150 г
Куриное яйцо 3 шт. = 180 г
Сливочное масло 100 г","1. Подготовьте все ингредиенты. Куриные яйца помойте. Разбейте одно яйцо и отделите желток от белка – он понадобится для смазывания хачапури. Разогрейте духовку до 200 °С.
2. Сыр Адыгейский и Сулугуни натрите на крупной терке.
3. Стол припылите мукой и выложите тесто. Разделите тесто на две части и сформируйте из них шарики.
4. Раскатайте тесто скалкой в две овальные лепешки толщиной 5 мм.
5. Выложите на лепешки тертый сыр, оставляя отступ 2 см по краям.
6. Соедините противоположные края и защипите. Должны получиться два «пирога».
7. Переверните хачапури.
8. Ножом сделайте надрезы по середине. Сформируйте кончики хачапури. В результате у вас должны получиться две «лодочки» с сыром.
9. Выложите хачапури на застеленный пергаментом противень. Смажьте их края желтком. Отправьте хачапури в духовку примерно на 20 минут до появления хрустящей румяной корочки.
10. Когда хачапури будут почти готовы, достаньте их и разбейте в каждую «лодочку» по куриному яйцу. Добавьте сливочное масло. Отправьте хачапури обратно в духовку еще на 4-5 минут до готовности яйца.
11. Хачапури по-аджарски готовы. Приятного аппетита.
12. Хачапури по-аджарски – лучшее гастрономическое сопровождение к бокалу грузинского саперави.",хачапури,грузинская,45 мин,20 мин,2 штуки,закуски
https://food.ru/recipes/230593-syrnye-krokety,Сырные крокеты,https://cdn.food.ru/unsigned/fit/640/480/ce/0/czM6Ly9tZWRpYS9waWN0dXJlcy8yMDI0MDkzMC80THByMmUuanBlZw.jpg,604.78,7.75,60.6,10.06,"Твердый сыр 125 г
Куриное яйцо 2 шт. = 120 г
Пшеничная мука хлебопекарная 3 ст. л. = 45 г
Панировочные сухари 0,5 стакан = 50 г
Растительное масло 400 мл = 400 г
Соль по вкусу
Черный перец молотый по вкусу
Пармезан по вкусу
Сырный соус по вкусу
Кетчуп по вкусу","1. Просейте муку. Подготовьте сотейник для фритюра.
2. Натрите сыр на мелкой терке.
3. Разбейте в посуду с тертым сыром 1 яйцо. При помощи вилки смешайте ингредиенты.
4. Всыпьте муку, соль и перец. Перемешайте еще раз, чтобы продукты распределились равномерно.
5. Смочите руки прохладной водой, чтобы сырное тесто не прилипало к пальцам. Скатайте из массы небольшие шарики. Они должны быть размером примерно с чупа-чупс.
6. Насыпьте муку на блюдце. Распределите в другой тарелке ровным слоем панировочные сухари, а в третьей слегка взболтайте вилкой оставшееся яйцо. Покатайте шарики по муке, чтобы они припылились со всех сторон. Затем окуните их в яйцо и сразу обваляйте в сухарях. Складывайте заготовки на пергамент.
7. Разогрейте в сотейнике растительное масло. Выложите в сотейник несколько крокетов и обжарьте их пару минут до золотистости. Выкладывайте готовую закуску на тарелку с бумажным полотенцем, чтобы оно впитывало излишки масла.
8. Подавайте сырные крокеты с любимыми соусами и украсьте пармезаном.",крокеты,интернациональная,30 мин,30 мин,3 порции,закуски
https://food.ru/recipes/175666-konvertiki-iz-lavasha-s-tvorogom-i-bananom,Конвертики из лаваша с творогом и бананом,https://cdn.food.ru/unsigned/fit/640/480/ce/0/czM6Ly9tZWRpYS9waWN0dXJlcy8yMDIzMDcwMy9CQktDZ2guanBlZw.jpg,146.27,11.05,3.79,16.64,"Армянский лаваш 100 г
Творог 5% 250 г
Куриное яйцо 1 шт. = 60 г
Ванилин 1 щепотка = 1 г
Банан 1 шт. = 150 г","1. Вымойте яйцо. Помойте и почистите банан.
2. Разрежьте лаваш на полосочки размером 20 на 10 см. Смешайте в миске творог, яйцо и ванилин. Смажьте одну полоску приготовленной начинкой до середины.
3. Нарежьте банан полосками и уложите треугольником на смазанный творогом угол полоски. Сверните треугольником.
4. Обжарьте заготовку по 3 минуты на сухой сковородке с каждой стороны.
5. Конвертики хороши как в горячем, так и в холодном виде. Подайте их к столу сразу или упакуйте в ланч-бокс.",закуски с хлебом или лавашем,интернациональная,10 мин,10 мин,2 порции,закуски
https://food.ru/recipes/235988-zakuska-elochnye-shary,Закуска «Елочные шары»,https://cdn.food.ru/unsigned/fit/640/480/ce/0/czM6Ly9tZWRpYS9waWN0dXJlcy8yMDI0MTIwMi93dGZVWUMuanBlZw.jpg,330.92,12.84,26.93,5.03,"Сыр полутвердый Laplandia Edam, 180 г 180 г
Чеснок 2 зубчик = 10 г
Маслины без косточки 1 стакан = 140 г
Творожный сыр 100 г
Майонез 3 ч. л. = 30 г
Укроп 0,3 пучок = 4,5 г
Зеленый лук 1 перо = 5 г
Грецкие орехи 2 ст. л. = 60 г
Молотая паприка 3 ст. л. = 18 г","1. Промойте укроп и обсушите на бумажных полотенцах. Снимите шелуху с чеснока.
2. Половину маслин мелко нарежьте.
3. Натрите на мелкой терке сыр и чеснок. Смешайте их с измельченными маслинами.
4. Добавьте к ингредиентам творожный сыр и майонез. Тщательно перемешайте, чтобы они равномерно распределились по массе.
5. Порубите грецкие орехи ножом в мелкую крошку. Переложите на блюдце.
6. Снимите со стеблей укроп и измельчите.
7. Скатайте из сырной смеси шарики размером с мячик для пинг-понга. Покатайте по столу с легким нажимом, чтобы фигурки стали ровными.
8. Обваляйте часть шариков в паприке, часть в измельченном укропе, часть в ореховой крошке. Выложите заготовки на сервировочную тарелку.
9. Вдавите в каждый шарик по маслине так, чтобы она вошла в него примерно наполовину. Нарежьте зеленый лук на кусочки длиной около 3 см. Сверните их в петельку и вставьте в дырочки маслин.
10. Выложите шарики на тарелку в форме венка, украсьте веточками тимьяна или базиликом. Чтобы сырные шарики было удобнее есть, подайте к ним шпажки. Реклама. Рекламодатель ООО «Виола» ИНН 7801467537, erid: 2VtzqvyRmmy",закуски,русская,15 мин,15 мин,4 порции,закуски
