url,название,фото,калорийность_ккал,белки_г,жиры_г,углеводы_г,ингредиенты,метод_приготовления,категория,кухня,время_приготовления,время_подготовки,количество_порций,категория_запроса
https://food.ru/recipes/219103-tushenaja-kurinaja-grudka-s-seldereem-i-grechkoi,Гречка с курицей и овощами,https://cdn.food.ru/unsigned/fit/640/480/ce/0/czM6Ly9tZWRpYS9waWN0dXJlcy8yMDI0MDYxNy8zRHVSS3IuanBlZw.jpg,92.58,8.87,2.47,9.16,"Куриная грудка 100 г
Гречка 40 г
Вода 100 мл = 100 г
Стебель сельдерея 30 г
Репчатый лук 20 г
Морковь 40 г
Кокосовое масло 1 ч. л. = 5 г
Соль по вкусу
Специи по вкусу
Базилик по желанию","1. Вымойте и обсушите бумажными полотенцами мясо. Промойте гречку. Ополосните овощи водой. Почистите морковь и лук. Удалите у перца плодоножку и семена. Подготовьте сковороду с высокими бортиками.
2. Залейте гречневую крупу водой на три часа. После этого промойте холодной водой и дайте стечь всей жидкости.
3. Нарежьте соломкой мясо, сельдерей и морковь. Нашинкуйте лук полукольцами.
4. Поставьте сковороду на плиту. Положите в нее масло и дождитесь, когда оно растопится. Слегка обжарьте курицу.
5. Добавьте к курице овощи и жарьте все вместе около 4-5 минут. Посолите, поперчите, всыпьте специи и перемешайте.
6. Выложите в сковороду гречку. Влейте воду. Выставьте слабый огонь. Накройте сковороду крышкой и тушите ингредиенты 15-20 минут.
7. Выложите куриную грудку с сельдереем и гречкой на тарелку, украсьте слайсами чили и листьями базилика.",курица с гречкой,интернациональная,50 мин,30 мин,1 порция,здоровая_еда
https://food.ru/recipes/218787-vozdushnyi-omlet,Воздушный омлет,https://cdn.food.ru/unsigned/fit/640/480/ce/0/czM6Ly9tZWRpYS9waWN0dXJlcy8yMDI0MDYxNC8zb2VpN2UuanBlZw.jpg,113.48,5.77,9.08,2.97,"Куриное яйцо 3 шт. = 180 г
Кабачки 90 г
Кокосовое молоко 100 мл = 100 г
Помидор 40 г
Брокколи 90 г
Соль по вкусу
Базилик по желанию
Зелень по желанию","1. Помойте яйца и овощи. Очистите кабачок от кожуры. Подготовьте миксер.
2. Отварите брокколи в кипящей подсоленной воде. Натрите кабачок. Мелко нарежьте помидор.
3. Измельчите отварную брокколи. Соедините с помидорами и кабачками.
4. Взбейте миксером яйца до образования пены и влейте их к овощам. Добавьте молоко. Посолите. Перемешайте.
5. Разогрейте духовку до 180°C. Смажьте форму для запекания маслом. Перелейте яично-овощную смесь в форму и отправьте в духовку на 30 минут.
6. Подайте омлет, украсив помидорами черри, листьями базилика и зеленью.",омлет,интернациональная,55 мин,15 мин,2 порции,здоровая_еда
https://food.ru/recipes/163516-sloenyi-salat-s-kuricei-i-ovoshchami,Слоеный салат с курицей и овощами. Здоровое питание с Ольгой,https://cdn.food.ru/unsigned/fit/640/480/ce/0/czM6Ly9tZWRpYS9waWN0dXJlcy8yMDIzMDMzMC8zSzZSOFouanBlZw.jpg,101.29,8.89,6.25,2.52,"Куриная грудка 230 г
Помидор 250 г
Куриное яйцо 3 шт. = 180 г
Салат «айсберг» 200 г
Морковь 100 г
Укроп 5 г
Твердый сыр 30 г
Растительное масло 30 г
Дижонская горчица 7 г
Соль по вкусу
Черный перец молотый 1 щепотка = 1 г
Молотый кориандр 0,5 ч. л. = 1 г
Сушеный чеснок 0,5 ч. л. = 1,5 г
Сушеный базилик 0,3 ч. л. = 0,6 г","1. Заранее отварите филе куриной грудки, остудите его в бульоне, чтобы мясо получилось сочным. Сварите яйца вкрутую. Подготовьте блюдо для подачи и сервировочное кольцо.
2. Почистите свежую морковь и при помощи овощечистки нарежьте небольшими пластинами, напоминающими стружку. Посолите морковь, добавьте сушеный чеснок, молотый кориандр, сушеный базилик, дижонскую горчицу и растительное масло. Тщательно перемешайте и оставьте мариноваться, пока подготавливаются остальные ингредиенты салата.
3. Поставьте на тарелку сервировочное кольцо. Первым слоем уложите салат «айсберг», нарезанный или нарванный руками на небольшие кусочки.
4. Сверху посыпьте измельченным укропом.
5. Добавьте измельченные вареные яйца, их нужно немного посолить.
6. Нарежьте помидоры мелкими кубиками и выложите поверх яиц.
7. Мелко нарежьте отварное куриное филе, распределите внутри кольца поверх помидоров.
8. Разложите кусочки моркови на слой курицы, сверху полейте оставшимся маринадом.
9. Дайте салату настояться минимум 1 час. Перед подачей посыпьте блюдо натертым на мелкой терке твердым сыром.",слоеные салаты,интернациональная,200 мин,20 мин,5 порций,здоровая_еда
https://food.ru/recipes/209735-ovoshchi-s-bulgurom,Овощи с булгуром,https://cdn.food.ru/unsigned/fit/640/480/ce/0/czM6Ly9tZWRpYS9waWN0dXJlcy8yMDI0MDIyOS9kNFpUb3MuanBlZw.jpg,96.76,2.82,3.91,13.33,"Булгур 0,5 стакан = 95 г
Вода 1,5 стакан = 300 г
Репчатый лук 0,5 шт. = 40 г
Замороженная овощная смесь 200 г
Растительное масло 1,5 ст. л. = 25,5 г
Лук-порей 0,5 пучок = 75 г
Карри 0,5 ч. л. = 2 г
Соль по вкусу
Черный перец молотый по вкусу","1. Вымойте и обсушите два вида лука. Очистите репчатый лук от шелухи. Подогрейте воду. Подготовьте глубокую сковороду.
2. Поставьте сковороду на средний огонь. Влейте в нее масло и дождитесь, когда оно нагреется.
3. Нарежьте репчатый лук мелкими кубиками. Переложите в сковороду и обжарьте, помешивая, в течение 5-7 минут.
4. Всыпьте в сковороду с луком булгур. Перемешайте. Подержите на огне все вместе примерно 1-2 минуты.
5. Залейте ингредиенты теплой водой. Добавьте соль. Хорошо перемешайте. Накройте сковороду крышкой и оставьте на 5-7 минут.
6. Всыпьте в сковороду замороженную овощную смесь. Перемешайте.
7. Всыпьте в блюдо соль, немного молотого перца и карри. Снова хорошо перемешайте.
8. Накройте овощи с булгуром крышкой. Тушите блюдо еще примерно 8-10 минут до полной готовности.
9. Мелко нарежьте лук-порей. Уберите готовое блюдо с плиты и дождитесь, когда оно немного остынет. Посыпьте его луком и перемешайте.
10. Разложите овощи с булгуром по порционным тарелкам. Подайте их на стол в теплом или холодном виде.",гарниры из булгура,русская,45 мин,25 мин,3 порции,здоровая_еда
https://food.ru/recipes/235114-Domashnie-tvorozhnye-syrki,Домашние творожные сырки,https://cdn.food.ru/unsigned/fit/640/480/ce/0/czM6Ly9tZWRpYS9waWN0dXJlcy8yMDI0MTEyNi9HSzduSGUuanBlZw.jpg,363.67,9.79,24.62,26.41,"Прессованный творог «Простоквашино» 5% 400 г
Сливочное масло 60 г
Сахарная пудра 0,5 стакан = 70 г
Кокосовая стружка 0,5 стакан = 70 г
Ванильный сахар 2 ст. л. = 50 г
Темный шоколад 180 г
Растительное масло 2 ст. л. = 34 г
Чай по вкусу
Клубника по вкусу
Мята по вкусу","1. Достаньте сливочное масло из холодильника заранее, чтобы оно стало мягким. Подготовьте погружной блендер и пищевую пленку. Застелите плоскую тарелку пергаментом.
2. Смешайте прессованный творог «Простоквашино» с сахарной пудрой, ванильным сахаром, мягким сливочным маслом и кокосовой стружкой при помощи погружного блендера и переложите в кондитерский мешок.
3. Поломайте шоколад на дольки, положите в чашку и растопите в микроволновке. Добавьте растительное масло и хорошенько перемешайте.
4. Возьмите силиконовую форму для сырков, залейте в нее немного растопленного шоколада и кисточкой смажьте им стенки формы. Уберите форму в морозилку на 10 минут.
5. В застывшую форму выложите творожную массу и уберите опять в морозилку на 10 минут.
6. Достаньте форму из морозилки и долейте сверху застывшую массу.
7. Подавайте творожные сырки с чаем, украсив их мятой и клубникой. Реклама. АО ""ЭЙЧ ЭНД ЭН"", ИНН: 7714626332, erid: 2Vtzqv9vh6P",творожники,европейская,60 мин,25 мин,4 штуки,здоровая_еда
https://food.ru/recipes/225345-salat-cvetnoi,Салат «Цветной»,https://cdn.food.ru/unsigned/fit/640/480/ce/0/czM6Ly9tZWRpYS9waWN0dXJlcy8yMDI0MDgwOC9DM0ZobW0uanBlZw.jpg,66.9,1.36,5.51,3.97,"Огурец 1 шт. = 120 г
Желтый болгарский перец 1 шт. = 150 г
Микс салатов 100 г
Помидоры черри 10 шт. = 200 г
Стебель сельдерея 1 шт. = 45 г
Чеснок 1 зубчик = 5 г
Оливковое масло Extra Virgin 2 ст. л. = 34 г
Соевый соус 2 ст. л. = 30 г
Бальзамический уксус темный 1 ст. л. = 15 г
Пармезан по желанию","1. Помойте салатные листья, огурец, помидоры, стебель сельдерея, выложите их на бумажное полотенце обсохнуть. Вымойте болгарский перец, удалите плодоножку и семена. Почистите чеснок. Подготовьте разделочную доску, пресс для чеснока, пиалу и глубокий салатник.
2. Разрежьте помидоры черри пополам. Нарежьте огурец и стебель сельдерея полукруглыми ломтиками толщиной около 3-4 мм. Измельчите болгарский перец полосками шириной около 6-7 мм.
3. Разложите салатный микс на дне салатника. Высыпьте сверху нарезанные огурец и сельдерей.
4. Уложите половинки помидоров черри и перца на овощи в салатнике.
5. Пропустите чеснок через специальный пресс, выложите его в небольшую пиалу. Налейте к чесноку соевый соус, бальзамический уксус и оливковое масло. Все тщательно перемешайте.
6. Равномерно полейте овощи в салатнике получившейся заправкой. Аккуратно перемешайте салат и сразу подайте его к столу, пока помидоры и огурцы не дали сок.
7. Украсьте салат «Цветной» тертым пармезаном.",овощные салаты,европейская,15 мин,15 мин,3 порции,здоровая_еда
https://food.ru/recipes/235120-tvorozhnye-syrniki-v-duhovke-s-klubnikoi,Творожные сырники в духовке с клубникой,https://cdn.food.ru/unsigned/fit/640/480/ce/0/czM6Ly9tZWRpYS9waWN0dXJlcy8yMDI0MTEyNi80TUxzTEouanBlZw.jpg,141.26,7.04,2.73,22.76,"Рассыпчатый творог «Простоквашино» 5% 250 г
Куриное яйцо 1 шт. = 60 г
Пшеничная мука хлебопекарная 5 ст. л. = 75 г
Ванилин 0,25 ч. л. = 1,25 г
Клубника 300 г
Сахар 4 ст. л. = 100 г
Крахмал 1 ч. л. = 3 г
Мята 1 веточка = 1 г","1. Помойте и переберите клубнику. Отрежьте хвостики.
2. Разогрейте духовку до 180°C. Смешайте рассыпчатый творог «Простоквашино» с яйцом в большой миске. Добавьте ванилин и 2 столовые ложки сахара. Разомните смесь вилкой.
3. Просейте муку через сито. Соедините творожную массу и муку, тщательно перемешайте, чтобы все ингредиенты соединились.
4. Присыпьте доску мукой и переложите на нее тесто. Скатайте колбаску и нарежьте ее на одинаковые кружочки толщиной в 2 сантиметра. Сформируйте круглые приплюснутые сырники.
5. Застелите противень пергаментной бумагой. Выложите сырники на противень и сделайте на поверхности бороздки при помощи вилки. Запекайте 20-25 минут до появления золотистой корочки.
6. В миске или ступке разомните клубнику до пюреобразного состояния с кусочками ягод. Добавьте оставшийся сахар и перемешайте.
7. Перелейте ягодное пюре в кастрюлю, поставьте на плиту и доведите до кипения. Крахмал разведите в 1 ст.л. воды, перемешайте до однородной эмульсии и тонкой струйкой, постоянно помешивая, влейте в клубничное пюре. Варите соус 2-3 минуты.
8. Полейте сырники клубничным соусом и украсьте листиками свежей мяты. Реклама. АО ""ЭЙЧ ЭНД ЭН"", ИНН: 7714626332, erid: 2VtzqxYuMxB",сырники с творогом,европейская,30 мин,10 мин,3 порции,здоровая_еда
https://food.ru/recipes/163514-salat-vesennii-ovoshchnoi,Салат «Весенний» овощной. Здоровое питание с Ольгой,https://cdn.food.ru/unsigned/fit/640/480/ce/0/czM6Ly9tZWRpYS9waWN0dXJlcy8yMDIzMDMzMC80TG1kdXAuanBlZw.jpg,36.92,1.33,2.02,3.64,"Редис 150 г
Белокочанная капуста 150 г
Огурец 250 г
Зеленый лук 40 г
Стебель сельдерея 70 г
Петрушка 7 г
Сметана 15% жирности 100 г
Лимонный сок 10 г
Соль по вкусу
Черный перец молотый по вкусу
Сметана по вкусу","1. Помойте все овощи для салата и зелень.
2. Нарежьте овощи произвольно, например, редис — тонкими круглыми ломтиками, огурцы — полукольцами, стебель сельдерея — тонкими пластинками. Измельчите зеленый лук и листья петрушки.
3. Тонко нашинкуйте молодую капусту при помощи овощечистки, слегка помните без добавления соли и добавьте в салатник к остальным овощам.
4. Добавьте соль и черный молотый перец, влейте немного лимонного сока. Заправьте салат сметаной.",овощные салаты,интернациональная,15 мин,10 мин,5 порций,здоровая_еда
https://food.ru/recipes/235105-sladkie-rolly-s-tvorogom-i-bananom,Сладкие роллы с творогом и бананом,https://cdn.food.ru/unsigned/fit/640/480/ce/0/czM6Ly9tZWRpYS9waWN0dXJlcy8yMDI0MTEyNi94VVJLWkEuanBlZw.jpg,166.32,6.49,6.85,20.27,"Молоко 2,5% жирности 0,75 стакан = 150 г
Пшеничная мука хлебопекарная 0,5 стакан = 65 г
Куриное яйцо 1 шт. = 60 г
Какао-порошок 1 ст. л. = 25 г
Растительное масло 1 ст. л. = 17 г
Разрыхлитель теста 1 ч. л. = 5 г
Сахар 1 ст. л. = 25 г
Сметана 15% жирности 1 ст. л. = 25 г
Прессованный творог «Простоквашино» 5% 100 г
Банан 0,5 шт. = 75 г
Киви 0,5 шт. = 37,5 г
Яблоки 0,25 шт. = 37,5 г
Сахар 1 ст. л. = 25 г
Сметана 15% жирности 1 ст. л. = 25 г
Темный шоколад по вкусу","1. Помойте и почистите банан и киви. Помойте яблоко. Просейте муку. Подготовьте глубокую миску и миксер для замешивания теста на блины.
2. Взбейте в глубокой миске миксером куриное яйцо с 1 ст.л. сахара в легкую пену.
3. Добавьте 1 ст.л. сметаны и растительное масло. Продолжайте взбивать миксером, чтобы все ингредиенты хорошо смешались.
4. Отдельно смешайте муку с какао-порошком и разрыхлителем.
5. Введите в тесто половину мучной смеси. Тщательно перемешайте, чтобы не было комочков.
6. Нагрейте молоко до 40-50°С. Влейте его в тесто. Продолжайте смешивать все миксером до получения однородной консистенции. Всыпьте оставшуюся муку. Хорошенько все перемешайте и дайте тесту «отдохнуть» 20 минут. За это время клейковина в муке набухнет и блины не будут рваться.
7. Разогрейте блинную сковороду. Испеките блины, раскатывая тесто тонким слоем по сковороде. Выпекайте их по 30-60 секунд с каждой стороны.
8. Для начинки смешайте прессованный творог «Простоквашино» с 1 ст.л. сахара и 1 ст.л. сметаны.
9. Вырежьте у яблока сердцевину. Нарежьте бананы, киви и яблоки длинными тонкими брусочками.
10. Смажьте каждый блинчик творожной массой. Выложите на край несколько фруктовых брусочков. Скрутите блинчик в трубочку.
11. Разрежьте каждую трубочку на 3-4 части, выложите на тарелку и полейте растопленным шоколадом. Реклама. АО ""ЭЙЧ ЭНД ЭН"", ИНН: 7714626332, erid: 2VtzqvibSnB",фруктовые роллы,европейская,60 мин,40 мин,2 порции,здоровая_еда
https://food.ru/recipes/217205-pp-fish-roll,ПП фиш-ролл,https://cdn.food.ru/unsigned/fit/640/480/ce/0/czM6Ly9tZWRpYS9waWN0dXJlcy8yMDI0MDUyNC8zRkdtdnkuanBlZw.jpg,287.64,7.92,20.55,17.46,"Минтай 180 г
Пекинская капуста 50 г
Армянский лаваш 200 г
Соль по вкусу
Специи по вкусу
Оливковое масло 1 ч. л. = 5 г
Желток куриного яйца 2 шт. = 34 г
Горчица 0,5 ч. л. = 4 г
Соленые огурцы 60 г
Соль 1 щепотка = 1 г
Оливковое масло Extra Virgin 120 мл = 120 г
Лимонный сок 1 ст. л. = 18 г
Черный перец молотый по вкусу","1. Разморозьте, помойте и обмакните бумажным полотенцем минтай. Вымойте листья капусты.
2. Нарежьте рыбу на кусочки и пробейте в блендере. Добавьте соль и перец по вкусу, перемешайте и сформируйте из полученного фарша котлеты.
3. Выложите рыбные котлетки на пергамент и положите в морозилку на 1 час. Так они будут лучше держать форму.
4. Взбейте 2 желтка с ½ ч.л. горчицы, щепоткой соли и перца и 1 ст.л. лимонного сока. Когда масса станет однородной, тонкой струйкой влейте 120 мл оливкового масла, продолжая взбивать соус.
5. Нарежьте соленые огурцы очень мелкими кубиками и добавьте в соус.
6. Разогрейте сковороду с 1 ч.л. оливкового масла и обжарьте котлеты с обеих сторон по несколько минут.
7. Разверните лаваш на столе и смажьте его соусом. Тонко нарежьте листья капусты и выложите сверху на лаваш с соусом.
8. Нарежьте котлеты на ломтики. Положите нарезанную рыбную котлету поверх капусты.
9. Сверните лаваш в ролл. Поджарьте на сухой сковородке.
10. Выложите готовый фиш-ролл на тарелку и подайте на стол в горячем виде с соусом тартар. Украсьте помидором черри и розмарином.",роллы в лаваше,интернациональная,30 мин,30 мин,2 штуки,здоровая_еда
