url,название,фото,калорийность_ккал,белки_г,жиры_г,углеводы_г,ингредиенты,метод_приготовления,категория,кухня,время_приготовления,время_подготовки,количество_порций,категория_запроса
https://food.ru/recipes/176623-lazania,Лазанья,https://cdn.food.ru/unsigned/fit/640/480/ce/0/czM6Ly9tZWRpYS9waWN0dXJlcy8yMDIzMDcxMC9qaUhEWWcuanBlZw.jpg,224.58,7.92,18.39,7.06,"Мясной фарш 800 г
Помидор 2 шт. = 180 г
Репчатый лук 2 шт. = 160 г
Листы лазаньи 8 шт. = 40 г
Чеснок 2 зубчик = 10 г
Томатная паста 2 ст. л. = 60 г
Твердый сыр 100 г
Растительное масло 1 ст. л. = 17 г
Соль по вкусу
Зелень по вкусу
Сливочное масло 50 г
Молоко 2,5 стакан = 500 г
Пшеничная мука хлебопекарная 2 ст. л. = 30 г
Душистый перец горошком по вкусу","1. При необходимости разморозьте фарш. Почистите лук и чеснок. Помойте помидоры. Подготовьте глубокую форму для запекания.
2. Нарежьте лук и чеснок мелкими кубиками. Нашинкуйте помидоры кубиками размером побольше. Натрите сыр на крупной терке.
3. Выложите фарш в разогретую сковороду с маслом. Добавьте лук. Жарьте 5 минут. Разбейте лопаткой крупные кусочки мяса.
4. Выложите в сковороду лук, чеснок, помидоры и томатную пасту. Посолите, всыпьте зелень. Перемешайте. Накройте крышкой, тушите на умеренном огне 10 минут.
5. Растопите сливочное масло в небольшой кастрюльке. Не убирая с плиты, всыпьте муку, перемешайте венчиком так, чтобы не образовалось ни одного комочка.
6. Влейте в соус молоко небольшими порциями, продолжая помешивать. Добавьте душистый перец. Когда соус станет похож на густые сливки, уберите с плиты, дайте остыть.
7. Налейте воду в чистую кастрюлю, поставьте на сильный огонь и доведите до кипения. Опустите листы лазаньи по одному в кипящую воду на 2-3 минуты. После этого сразу же окуните в холодную, а лучше в ледяную воду.
8. Выложите 1-2 листа в форму для запекания. Полейте небольшим количеством соуса. Поверх распределите часть фарша и тертого сыра. Снова полейте соусом и повторите слои: листы лазаньи, фарш, сыр, соус. Последний слой должен заканчиваться листами лазаньи, обильно политыми соусом и посыпанными сыром.
9. Отправьте форму в разогретую до 190°C духовку на 30 минут.
10. Перед подачей дайте блюду остыть 10 минут. Нарежьте лазанью острым ножом на порционные кусочки и подавайте к столу с измельченной зеленью.",лазанья,итальянская,70 мин,40 мин,5 порций,обед
https://food.ru/recipes/2127-pasta-karbonara,Паста карбонара,https://cdn.food.ru/unsigned/fit/640/480/ce/0/czM6Ly9tZWRpYS9waWN0dXJlcy9yZWNpcGVzLzIxMjcvY292ZXJzL1FIZ29VOC5qcGc.jpg,382.67,15.55,25.06,22.89,"Сливки 200 мл = 200 г
Пармезан 200 г
Бекон 200 г
Чеснок 1 зубчик = 5 г
Макароны 300 г
Растительное масло 50 г
Соль по вкусу
Черный перец молотый по вкусу","1. Подготовьте все ингредиенты.
2. Натрите сыр на мелкой терке. Чеснок почистите и мелко нарежьте либо пропустите его через чеснокодавку.
3. Мелко нарежьте бекон.
4. В глубокую кастрюлю добавьте воду, доведите ее до кипения, посолите и положите пасту. Варите ее до готовности, но не переварите.
5. Разогрейте сковороду, добавьте в нее масло. В сковороду положите бекон и чеснок и обжаривайте до золотистой корочки.
6. Далее добавьте сливки и готовую пасту, тушите 5 минут.
7. Далее в сковородку добавьте тертый сыр, хорошо все перемешайте и тушите еще 3 минуты до полной готовности.",карбонара,итальянская,30 мин,30 мин,4 порции,обед
https://food.ru/recipes/146194-slavniy-borsch,Славный борщ,https://cdn.food.ru/unsigned/fit/640/480/ce/0/czM6Ly9tZWRpYS9waWN0dXJlcy8yMDIyMDgwOS8zOThyZWkuanBlZw.jpg,71.88,6.51,3.46,3.36,"Говядина 1600 г
Говяжьи кости 3000 г
Репчатый лук 2 шт. = 160 г
Морковь 3 шт. = 300 г
Свекла 2 шт. = 260 г
Капуста 1 шт. = 890 г
Корень сельдерея 1 шт. = 500 г
Томатная паста 3 ст. л. = 90 г
Укроп 1 пучок = 15 г
Петрушка 1 пучок = 20 г
Чеснок 40 г
Душистый перец горошком 10 шт. = 10 г
Гвоздика 7 шт. = 7 г
Лавровый лист 3 шт. = 3 г
Сахар 2 ст. л. = 50 г
Соль 2 ст. л. = 50 г
Лимонный сок 40 г","1. Заранее очистите овощи от кожуры и промойте. Зелень промойте и нарежьте. Выжмите сок из половинки лимона.
2. Кости выложите на противень, смажьте маслом и уберите в духовку. Запекайте при 200 градусах до золотистости.
3. Мясо нарежьте на крупные кубики. Обжарьте их со всех сторон до золотистой корочки.
4. Капусту мелко покрошите. Немного обжарьте капусту перед добавлением в суп, чтобы выпарить ненужную влагу.
5. Если вы брали кости с костным мозгом, вытащите его в отдельную миску.
6. Оставшиеся кости уберите в скороварку, добавьте мясо и специи для бульона (душистый перец, гвоздику, лавровый лист).
7. Залейте холодной водой, чтобы она покрывала мясо на 3–4 см сверху. Поставьте вариться на 1,5 часа после закипания. Или на 3 часа в обычной кастрюле.
8. Лук, морковь, сельдерей и свеклу пропустите через комбайн или нарежьте.
9. Начните обжаривать лук, морковь и сельдерей. Чуть позже добавьте томатную пасту, но сначала обязательно прогрейте ее на пустом участке сковороды и потом начинайте смешивать вместе с овощами. Готовьте еще 3–5 минут и затем добавьте сок лимона и свеклу. Через пару минут добавьте немного воды.
10. Бульон процедите. Готовое мясо нарежьте на куски поменьше.
11. В бульон добавьте зажарку, капусту, мясо, зелень, соль и сахар, тертый чеснок и готовьте еще 10–15 минут.
12. Украсьте зеленью и подавайте со сметаной и гренками!",борщ,авторская,120 мин,60 мин,16 порций,обед
https://food.ru/recipes/169798-slavnaja-kartoshka-s-gribnym-sousom,Славная картошка с грибным соусом,https://cdn.food.ru/unsigned/fit/640/480/ce/0/czM6Ly9tZWRpYS9waWN0dXJlcy8yMDIzMDYwMS8zTVdLUHYuanBlZw.jpg,127.12,2.24,8.21,11.0,"Картошка 2 кг = 2000 г
Шампиньоны 600 г
Грибной порошок 2 ст. л. = 20 г
Репчатый лук 500 г
Сливочное масло 180 г
Чеснок 10 зубчик = 50 г
Тимьян / чабрец 1 пучок = 30 г
Сметана 600 г
Подсолнечное масло рафинированное 3 ст. л. = 51 г","1. Заранее почистите картофель, лук и чеснок. Если у вас нет готовых молотых грибов, перебейте сушеные в блендере до состояния пыли. Лучше всего, если у вас будут белые грибы.
2. Очищенный картофель поставьте вариться, но не доготавливайте его.
3. Нашинкуйте лук, грибы и чеснок.
4. Нарежьте картофель на кубики.
5. Начните обжаривать шампиньоны, к ним добавьте пучок тимьяна. После того, как грибы обжарятся, достаньте тимьян.
6. Добавьте к шампиньонам пудру белых грибов и прогрейте ее 1-2 минуты. Затем добавьте сметану, соль и перец по вкусу. Готовьте 2-3 минуты и снимите с огня. Оставьте настаиваться.
7. Начните обжаривать картофель на сливочном масле. Готовьте 30-35 минут на среднем огне, переворачивая каждые пять минут. Посолите и поперчите, добавьте лук за 10 минут до конца готовки. Добавьте чеснок в самом конце.
8. Подавайте жареный картофель вместе с грибным соусом!",блюда из картофеля,интернациональная,60 мин,40 мин,5 порций,обед
https://food.ru/recipes/232674-zapechnnye-makarony-s-pepperoni-i-mocarelloi,Запеченные макароны с пепперони и моцареллой,https://cdn.food.ru/unsigned/fit/640/480/ce/0/czM6Ly9tZWRpYS9waWN0dXJlcy8yMDI0MTAyMy8zTm5nVDUuanBlZw.jpg,252.45,6.91,11.63,9.78,"Макароны (рожки) 400 г
Пеперони 150 г
Томатный соус 400 г
Маслины без косточки 20 шт. = 60 г
Моцарелла 90 г
Подсолнечное масло рафинированное 1 ч. л. = 5 г
Соль 0,5 ч. л. = 3,5 г
Базилик по вкусу","1. Подготовьте кастрюлю, дуршлаг, терку и глубокую форму для запекания. Смажьте ее 1 ч.л. растительного масла.
2. Налейте в кастрюлю 2-2,5 л воды. Доведите ее до кипения на сильном огне. Уменьшите его до среднего. Всыпьте в воду соль и рожки. Отварите их до состояния аль денте по инструкции на упаковке.
3. Включите духовку разогреваться до 175°С. Нарежьте колбасу круглыми ломтиками, маслины — колечками. Натрите моцареллу на средней терке.
4. Откиньте сваренные рожки на дуршлаг, дайте отвару полностью стечь. Переложите макароны в смазанную маслом форму для запекания.
5. Положите к рожкам кусочки колбасы и маслин. Влейте томатный соус и все перемешайте. Закройте форму фольгой, поставьте ее в духовку и запекайте все в течение 30-35 минут.
6. Достаньте форму из духовки, снимите фольгу и посыпьте макароны сыром. Прогрейте все еще 5-7 минут, пока сыр не расплавится. Слегка остудите запеканку и подайте ее к столу.
7. Украсьте запеканку свежим базиликом и подайте к столу в горячем виде.",запеканка из макарон,"американская, европейская, итальянская",55 мин,20 мин,4 порции,обед
https://food.ru/recipes/163785-farshirovannaja-kurinaja-grudka-blog,Фаршированная куриная грудка,https://cdn.food.ru/unsigned/fit/640/480/ce/0/czM6Ly9tZWRpYS9waWN0dXJlcy8yMDIzMDQwNi84Q3pVTUIuanBlZw.jpg,117.64,18.98,4.14,1.21,"Куриная грудка 2 шт. = 800 г
Копченая паприка 0,25 ч. л. = 1,75 г
Черный перец молотый 0,25 ч. л. = 1,25 г
Соль по вкусу
Карри 0,25 ч. л. = 1 г
Шпинат 50 г
Моцарелла 80 г
Помидор 2 шт. = 180 г
Оливковое масло 1 ст. л. = 17 г","1. Подготовьте все ингредиенты. Заранее сделайте лодочки из пергамента, скрепленные по краям шпагатом.
2. Сделайте надрезы в куриной грудке: ровный надрез посередине и внутри по сторонам первого надреза. Нужно, чтобы внутри грудки образовалась полость.
3. Приправьте куриную грудку специями: копченой паприкой, черным перцем, карри и солью. Смажьте нерафинированным оливковым маслом.
4. Нарежьте шпинат на полоски, томаты — на дольки, моцареллу — на маленькие кусочки. Переложите все ингредиенты в миску,посолите и перемешайте.
5. Выложите начинку в куриную грудку и плотно ее утрамбуйте.
6. Выложите в лодочки из пергамента фаршированную куриную грудку. Поставьте курицу в духовку и запекайте при температуре 180°C около 25 минут.
7. Подавать грудку можно в качестве самостоятельного основного блюда, а можно сопроводить гарниром из булгура, риса или запеченного картофеля.",курица в духовке,итальянская,60 мин,15 мин,4 порции,обед
https://food.ru/recipes/2310-pasta-boloneze,Паста болоньезе,https://cdn.food.ru/unsigned/fit/640/480/ce/0/czM6Ly9tZWRpYS9waWN0dXJlcy9yZWNpcGVzLzIzMTAvY292ZXJzLzNhY1hUYy5qcGc.jpg,55.58,1.65,3.43,4.5,"Спагетти 200 г
Вода 3 л = 3000 г
Мясной фарш 300 г
Репчатый лук 1 шт. = 80 г
Чеснок 1 зубчик = 5 г
Помидор 2 шт. = 180 г
Базилик 40 г
Петрушка 40 г
Соль 1 ч. л. = 7 г
Черный перец молотый 1 ч. л. = 5 г
Растительное масло 2 ст. л. = 34 г
Базилик 30 г","1. Вымойте томаты и снимите кожицу. Для этого сделайте на них крестообразные надрезы. Вскипятите воду и опустите в нее помидоры на 1 минуту. Подождите, пока томаты слегка остынут. После этого кожица легко снимется. Натрите помидоры на терке. Очистите лук и мелко нарежьте его кубиками. Вымойте зелень и порубите ее ножом. Листики базилика, предназначенные для украшения, измельчать не нужно.
2. Приступите к приготовлению пасты болоньезе. Поставьте сковороду на сильный огонь и налейте в нее растительное масло. Выложите лук и половину чеснока. Обжаривайте, помешивая, 3 минуты.
3. Приготовьте фарш. Положите его в сковороду к чесноку и луку. Обжаривайте, помешивая, минут 5. Добавьте соль и черный молотый перец. Влейте измельченные томаты. Все перемешайте. Сделайте огонь минимальным, накройте сковороду крышкой. Подождите 10 минут.
4. Завершите готовку. Выключите огонь, снимите крышку со сковороды и добавьте оставшийся чеснок, а также измельченную зелень базилика и петрушки. Перемешайте. Накройте крышкой и оставьте в теплом месте на 15 минут.
5. Сделайте пасту. Налейте воду в кастрюлю и подождите 5 минут, пока вода закипит. Добавьте соль и опустите в воду спагетти. Варите их 8-10 минут. Откиньте на дуршлаг. Промывать не нужно.
6. Во время подачи на тарелку выложите спагетти, а сверху — болоньезе из фарша. Чтобы подача была более эффектной, украсьте блюдо листьями свежего базилика.",паста (макароны),"европейская, итальянская",40 мин,20 мин,4 порции,обед
https://food.ru/recipes/1322-sbornaja-soljanka,Сборная солянка,https://cdn.food.ru/unsigned/fit/640/480/ce/0/czM6Ly9tZWRpYS9waWN0dXJlcy9yZWNpcGVzLzEzMjIvY292ZXJzLzQ2RHFLVC5qcGc.jpg,76.98,3.0,6.85,1.27,"Копченая колбаса 200 г
Сосиски 100 г
Копчено-вареная говядина 100 г
Бульонный кубик 2 шт. = 20 г
Вода 1,3 л = 1300 г
Репчатый лук 100 г
Растительное масло 20 г
Томатное пюре 30 г
Маринованные огурцы 100 г
Маслины без косточки 12 шт. = 36 г
Сметана 30 г
Лимон 10 г
Соль 5 г","1. Очистите лук и нарежьте соломкой. Колбасу, сосиски, говядину и огурцы также нарежьте соломкой. Вымойте и измельчите зелень. Откройте банку маслин и слейте воду. Бульонные кубики раскрошите.
2. Обжарьте лук на разогретом масле, избегая изменения цвета (около 2 минут). Добавьте томатное пюре, перемешайте и прогрейте в течение 1 минуты.
3. Закипятите воду в кастрюле, выложите в нее раскрошенные бульонные кубики, мясные продукты, огурцы, оливки и лук с томатной пастой. Посолите суп и варите 5 минут на сильном огне.
4. Снимите с огня и дайте настояться в течение 10 минут.
5. При подаче каждую порцию солянки дополните кружочком лимона, измельченной зеленью и сметаной.",солянка,русская,40 мин,30 мин,4 порции,обед
https://food.ru/recipes/18-kartofelnye-draniki,Картофельные драники,https://cdn.food.ru/unsigned/fit/640/480/ce/0/czM6Ly9tZWRpYS9waWN0dXJlcy9yZWNpcGVzLzE4L2NvdmVycy9kNVdkcDcuanBn.jpg,152.64,2.52,9.6,13.73,"Картошка 1 кг = 1000 г
Растительное масло 100 мл = 100 г
Куриное яйцо 1 шт. = 60 г
Пшеничная мука хлебопекарная 2 ст. л. = 30 г
Соль 0,5 ч. л. = 3,5 г
Черный перец молотый по вкусу
Сметана 100 г
Петрушка 10 г
Укроп 10 г
Чеснок 1 зубчик = 5 г
Соленые огурцы 50 г","1. Очистите картофель и чеснок. Зелень ополосните и просушите бумажным полотенцем.
2. Натрите картофель на крупной терке. Слегка его отожмите и слейте излишки жидкости.
3. Добавьте к картофелю 1 яйцо.
4. Добавьте муку. Посолите и поперчите картофельную массу. Хорошо перемешайте.
5. Разогрейте хорошо сковороду и влейте немного растительного масла. Выложите столовую ложку картофельной массы и разровняйте до толщины 5 мм. Обжаривайте драник по 2 минуты с каждой стороны до румяной корочки. Жарьте драники на среднем огне.
6. Теперь приготовьте соус. В глубокую миску выложите сметану.
7. Добавьте к сметане рубленную зелень и измельченные огурчики. Выдавите в миску чеснок. Перемешайте.
8. Подавайте драники горячими. Приятного аппетита.",блюда из картофеля,"белорусская, русская, украинская",90 мин,90 мин,4 порции,обед
https://food.ru/recipes/227946-draniki-s-jaicom,Картофельные драники с яйцом,https://cdn.food.ru/unsigned/fit/640/480/ce/0/czM6Ly9tZWRpYS9waWN0dXJlcy8yMDI0MDkwOC9RSEtienkuanBlZw.jpg,118.96,3.28,4.53,15.3,"Картошка 4 шт. = 480 г
Куриное яйцо 1 шт. = 60 г
Пшеничная мука хлебопекарная 1 ст. л. = 15 г
Соль 2 щепотка = 2 г
Подсолнечное масло рафинированное 1 ст. л. = 17 г
Сметана по желанию
Зелень по желанию","1. Помойте и почистите картофель. Просейте муку. Подготовьте глубокую миску, терку, сито и сковороду.
2. Мелко натрите картофель. Выложите его в сито и оставьте на 6-7 минут, чтобы стекла выделяющаяся жидкость. Как следует отожмите тертый картофель, чтобы избавить его от оставшейся жидкости. Переложите отжатую картофельную массу в миску.
3. Разбейте в миску с картофелем яйцо, всыпьте соль, тщательно все перемешайте.
4. Всыпьте просеянную муку в картофельную массу с яйцом. Вымесите ложкой однородное густое тесто, следя, чтобы в нем не оставалось сухих участков муки.
5. Налейте в сковороду растительное масло, хорошо разогрейте его на среднем огне. По очереди сформируйте столовой ложкой овальные драники толщиной около 1 см и выложите их на сковороду в горячее масло. Пожарьте драники с одной стороны 4-5 минут, пока их поверхность не станет плотной, а низ не подрумянится. Переверните драники и поджарьте их с другой стороны еще 4-5 минут до золотистой корочки. Застелите тарелку бумажными полотенцами. Выложите на нее обжаренные драники. Подождите, когда полотенца впитают излишки масла, и аккуратно уберите их с блюда.
6. Подавайте драники со сметаной и свежей зеленью.",драники,белорусская,30 мин,25 мин,6 штук,обед
