url,название,фото,калорийность_ккал,белки_г,жиры_г,углеводы_г,ингредиенты,метод_приготовления,категория,кухня,время_приготовления,время_подготовки,количество_порций,категория_запроса
https://food.ru/recipes/209678-chizkeyk-san-sebastjan,Чизкейк «Сан-Себастьян»,https://cdn.food.ru/unsigned/fit/640/480/ce/0/czM6Ly9tZWRpYS9waWN0dXJlcy8yMDI0MDIyOC8zUjdZQXUuanBlZw.jpg,293.92,5.36,22.23,15.77,"Творожный сыр 770 г
Сахар 200 г
Кукурузный крахмал 16 г
Ваниль 0,5 шт. = 2 г
Яйца 4 шт. = 240 г
Сливки 33% жирности 360 г","1. Заранее выложите яйца, творожный сыр и сливки из холодильника. Также вам понадобятся фольга, пергамент и форма-кольцо (мы использовали форму диаметром 20 см). Перед выпеканием разогрейте духовку до 220°С.
2. Оберните кольцо фольгой. Затем сомните два листа пергамента и застелите форму вместе с бортиками.
3. Соедините в миске творожный сыр, сахар и крахмал, перемешайте массу до однородности.
4. По одному введите в смесь яйца и перемешайте массу до однородности.
5. Разрежьте стручок ванили вдоль, соскоблите семена и добавьте их в сырную массу.
6. Влейте сливки в сырную массу, хорошо перемешайте.
7. Продегустируйте будущий чизкейк, если вы любите пробовать сырое тесто для маминой шарлотки.
8. Помогая себе лопаткой, протрите массу через сито в форму для выпекания. Так текстура чизкейка получится равномерной и чуть ли не шелковой. Если пропустить этот шаг, то могут остаться комочки.
9. Выпекайте чизкейк в течение 25 минут при 220°С до румяной корочки. После этого дайте десерту остыть до комнатной температуры. Затем уберите его в холодильник минимум на 12 часов или на ночь.
10. Кстати, верхушка чизкейка обязательно подгорит и будет достаточно темной. Также не переживайте, что края получатся неровными — в этом и задумка!
11. Подайте чизкейк с чашечкой чая или кофе. Этот чизкейк не похож на обычный — тут нет песочной основы, а сама текстура получается очень нежной и буквально тает во рту!",чизкейк с творожным сыром,"интернациональная, испанская",765 мин,20 мин,1 штука,завтрак
https://food.ru/recipes/187171-russkie-bliny-1694370384,Русские блины,https://cdn.food.ru/unsigned/fit/640/480/ce/0/czM6Ly9tZWRpYS9waWN0dXJlcy8yMDIzMDkxMC9mdDd2V3UuanBlZw.jpg,170.32,5.19,8.47,18.65,"Молоко 3,2% 1 л = 1000 г
Пшеничная мука хлебопекарная 300 г
Растительное масло 80 г
Куриное яйцо 3 шт. = 180 г
Соль 0,5 ч. л. = 3,5 г
Сахар 2 ст. л. = 50 г","1. Подготавливаем все ингредиенты.
2. Яйцо, молоко, соль, сахар хорошо пробиваем погружным блендером.
3. Обязательно просеиваем муку.
4. Добавляем муку в блинную смесь и хорошо размешиваем.
5. Если хорошо пробиваем блендером, то блины получаем с дырочками.
6. В смесь обязательно добавляем ростительное масло и еще раз пробиваем блендером.
7. Скорородку хорошо прогреваем: так блины не пристанут к ней.
8. Выпекаем блины до готовности.
9. К блинам подаем любое варенье по вкусу. Даже если положить в смесь маленькое количество сахара, можно начинять сыром и ветчиной.",блины на молоке,русская,60 мин,20 мин,10 порций,завтрак
https://food.ru/recipes/227946-draniki-s-jaicom,Картофельные драники с яйцом,https://cdn.food.ru/unsigned/fit/640/480/ce/0/czM6Ly9tZWRpYS9waWN0dXJlcy8yMDI0MDkwOC9RSEtienkuanBlZw.jpg,118.96,3.28,4.53,15.3,"Картошка 4 шт. = 480 г
Куриное яйцо 1 шт. = 60 г
Пшеничная мука хлебопекарная 1 ст. л. = 15 г
Соль 2 щепотка = 2 г
Подсолнечное масло рафинированное 1 ст. л. = 17 г
Сметана по желанию
Зелень по желанию","1. Помойте и почистите картофель. Просейте муку. Подготовьте глубокую миску, терку, сито и сковороду.
2. Мелко натрите картофель. Выложите его в сито и оставьте на 6-7 минут, чтобы стекла выделяющаяся жидкость. Как следует отожмите тертый картофель, чтобы избавить его от оставшейся жидкости. Переложите отжатую картофельную массу в миску.
3. Разбейте в миску с картофелем яйцо, всыпьте соль, тщательно все перемешайте.
4. Всыпьте просеянную муку в картофельную массу с яйцом. Вымесите ложкой однородное густое тесто, следя, чтобы в нем не оставалось сухих участков муки.
5. Налейте в сковороду растительное масло, хорошо разогрейте его на среднем огне. По очереди сформируйте столовой ложкой овальные драники толщиной около 1 см и выложите их на сковороду в горячее масло. Пожарьте драники с одной стороны 4-5 минут, пока их поверхность не станет плотной, а низ не подрумянится. Переверните драники и поджарьте их с другой стороны еще 4-5 минут до золотистой корочки. Застелите тарелку бумажными полотенцами. Выложите на нее обжаренные драники. Подождите, когда полотенца впитают излишки масла, и аккуратно уберите их с блюда.
6. Подавайте драники со сметаной и свежей зеленью.",драники,белорусская,30 мин,25 мин,6 штук,завтрак
https://food.ru/recipes/540-tonkie-bliny,Тонкие блины,https://cdn.food.ru/unsigned/fit/640/480/ce/0/czM6Ly9tZWRpYS9waWN0dXJlcy9yZWNpcGVzLzU0MC9jb3ZlcnMvM25jQkFrLkpQRw.jpg,163.47,5.14,5.14,24.39,"Пшеничная мука хлебопекарная 250 г
Куриное яйцо 2 шт. = 120 г
Молоко 250 мл = 250 г
Растительное масло 1,5 ст. л. = 25,5 г
Соль 0,5 ч. л. = 3,5 г
Сахар 2 ст. л. = 50 г
Вода 250 г
Сливочное масло по вкусу
Сметана по вкусу","1. Подготовьте продукты. Заранее достаньте молоко и яйца из холодильника, чтобы к моменту готовки они были комнатной температуры.
2. Начните готовить тесто для тонких блинов. Смешайте яйца с половиной стакана молока. Всыпьте в тесто муку, перемешивайте так, чтобы разбить комочки. Добавьте соль и сахар.
3. Добавьте в тесто оставшееся молоко, снова перемешайте, добавьте воду, продолжая взбивать тесто. Когда масса станет однородной, добавьте растительное масло и снова перемешайте.
4. Растопите сковороду с растительным маслом. Налейте на середину тесто и распределите его по поверхности. Выпекайте блины по 30 секунд с каждой стороны.
5. Когда все блинчики будут готовы, подайте их на стол выложенной стопочкой. По желанию каждый блин можно смазать сливочным маслом. Приятного аппетита!
6. Чтобы блюдо выглядело как ресторанное, сложите блинчики треугольниками. Подайте сметану или варенье в соуснице.",блины,русская,20 мин,20 мин,3 порции,завтрак
https://food.ru/recipes/156416-chizkeik-iz-maskarpone-i-sgushchenki,Чизкейк из маскарпоне и сгущенки,https://cdn.food.ru/unsigned/fit/640/480/ce/0/czM6Ly9tZWRpYS9waWN0dXJlcy9yZWNpcGVzLzE1NjQxNi9jb3ZlcnMvcHpOUVRBLmpwZWc.jpg,408.22,5.36,32.67,23.31,"Песочное печенье 300 г
Сливочное масло 150 г
Сыр маскарпоне 500 г
Ванилин 0,5 ч. л. = 2,5 г
Молотая корица 1 ч. л. = 3 г
Сливки 300 мл = 300 г
Вареное сгущенное молоко 200 г
Порошковый желатин 1 ст. л. = 15 г
Брусничный соус по желанию","1. Достаньте все ингредиенты из холодильника заранее, чтобы они согрелись. Достаньте блендер.
2. Сделайте основу. Печенье измельчите. Разотрите с размягченным маслом. Выложите в форму и утрамбуйте.
3. Приготовьте начинку. В чашу блендера положите маскарпоне. Влейте сливки и сгущенку. Добавьте корицу и ванилин. Взбейте. Разведите желатин водой. Дайте ему набухнуть и влейте в блендер. Взбейте еще раз.
4. Вылейте начинку на тесто. Затяните пленкой ""в контакт"" и отправьте в холодильник на несколько часов.
5. Подайте чизкейк, дополнив его брусничным соусом.",чизкейк,интернациональная,30 мин,30 мин,6 порций,завтрак
https://food.ru/recipes/149345-cosmicheskiy-cheescake-s-golubikoy,Космический чизкейк с голубикой,https://cdn.food.ru/unsigned/fit/640/480/ce/0/czM6Ly9tZWRpYS9waWN0dXJlcy8yMDIyMTAxMy80WHYzdUMuanBlZw.jpg,299.29,4.28,20.07,23.98,"Печенье 250 г
Сливочное масло 100 г
Порошковый желатин 10 г
Сливки 30% жирности 350 мл = 350 г
Творожный сыр 400 г
Сахарная пудра 150 г
Экстракт ванили 1 ч. л. = 7 г
Лимон 0,5 шт. = 60 г
Порошковый желатин 8 г
Вода 240 мл = 240 г
Сахар 20 г
Пищевой краситель по желанию
Голубика по вкусу","1. Подготовьте миксер, металлическую форму (D20) и кондитерскую лопатку.
2. Печенье измельчите в блендере до состояния крошки.
3. Добавьте в печенье мягкое сливочное масло, хорошо перемешайте.
4. Выложите массу печенья на дно металлической формы и уберите в холодильник.
5. Замочите 10 г порошкового желатина в 70 мл воды и дайте набухнуть.
6. Творожный сыр смешайте с сахарной пудрой, соком половины лимона и ванильным экстрактом. Хорошо перемешайте, лучше миксером.
7. Сливки взбейте до состояния мягких пиков. Лучше всего взбивать очень холодные сливки.
8. Набухший желатин растворите в микроволновке (секунд 10) и добавьте его в массу к творожному сыру. Перемешайте все до однородной массы. Аккуратно смешайте взбитые сливки и творожную массу.
9. Выложите в форму на песочную основу готовую массу чизкейка, разровняйте,чуть потряхивая форму. Уберите в холодильник минут на 30.
10. 8 г желатина для желе растворите в 30 мл воды и дайте набухнуть.
11. 240 мл воды подогрейте до состояния теплой. Добавьте сахар и краситель. Перемешайте, чтобы вода стала красивого голубого цвета.
12. В теплую воду добавьте желатин и перемешайте.
13. Достаньте чизкейк из холодильника, выложите на поверхность ягоды голубики. Залейте голубой водой с желатином ягоды на половину (чтобы они держались на поверхности, не всплыли) и уберите в холодильник, пока поверхность не «схватится».
14. Через 15–20 минут достаньте чизкейк и полностью залейте голубым желе все ягоды. Подождите, пока чизкейк застынет до конца.
15. Подавайте в качестве десерта, нарезая порционно на кусочки. В разрезе десерт получается очень красивым.",чизкейк,американская,150 мин,40 мин,8 порций,завтрак
https://food.ru/recipes/129105-postnyi-tort-brauni,Постный торт брауни,https://cdn.food.ru/unsigned/fit/640/480/ce/0/czM6Ly9tZWRpYS9waWN0dXJlcy9yZWNpcGVzLzEyOTEwNS9jb3ZlcnMvMzRGN2FqLmpwZWc.jpg,379.46,4.74,22.69,41.69,"Вода 1 стакан = 200 г
Пшеничная мука хлебопекарная 2 стакан = 260 г
Сахар 1 стакан = 180 г
Какао-порошок 2,5 ст. л. = 62,5 г
Разрыхлитель теста 1 ч. л. = 5 г
Соль 0,3 ч. л. = 2,1 г
Растительное масло 1 стакан = 190 г
Ванилин 1 г","1. Подготовьте продукты для приготовления постной выпечки. Муку просейте. Вода должна быть кипяченой, комнатной температуры.Совет: Форму для запекания можно не смазывать, так как тесто само по себе маслянистое.
2. Сделайте тесто для брауни. В чашу выложите сахар, какао, ванилин, разрыхлитель, соль и муку. Влейте растительное масло и воду. Смешайте ингредиенты в густую массу.
3. Испеките постный пирог. Выложите тесто в форму, разровняйте. Духовку нагрейте до 180℃. Поставьте форму на противень. Запекайте 20-25 минут.
4. Постный торт брауни остудите, переложите на блюдо, нарежьте на кусочки и приступайте к дегустации.",торты,американская,35 мин,15 мин,8 порций,завтрак
https://food.ru/recipes/1530-pankeiki,Панкейки,https://cdn.food.ru/unsigned/fit/640/480/ce/0/czM6Ly9tZWRpYS9waWN0dXJlcy9yZWNpcGVzLzE1MzAvY292ZXJzLzREVGZHMy5qcGc.jpg,261.87,6.19,11.58,33.26,"Пшеничная мука хлебопекарная 200 г
Сахар 40 г
Куриное яйцо 1 шт. = 60 г
Молоко 200 мл = 200 г
Соль 1 г
Оливковое масло 50 мл = 50 г
Разрыхлитель теста 5 г","1. Подготовьте миксер и сковороду для блинов.
2. Соедините все сухие ингредиенты, добавьте яйцо и перемешайте с помощью миксера. Добавьте молоко и масло и снова перемешайте миксером.
3. Разогрейте сковороду и обжаривайте панкейки на среднем огне без масла.",панкейки,американская,30 мин,30 мин,3 порции,завтрак
https://food.ru/recipes/179292-syrniki-1690920764,Сырники с яичным желтком,https://cdn.food.ru/unsigned/fit/640/480/ce/0/czM6Ly9tZWRpYS9waWN0dXJlcy8yMDI2MDIxMC9WNHhiUHUuanBlZw.jpg,191.81,13.52,4.62,25.46,"Творог 300 г
Желток куриного яйца 1 шт. = 17 г
Пшеничная мука хлебопекарная 3 ст. л. = 45 г
Сахар 3 ст. л. = 75 г","1. Подготавливаем все ингредиенты.
2. К творогу добавляем муку.
3. Всыпаем сахар.
4. Добавляем желток.
5. Все перемешиваем, формируем колбаску из теста, нарезаем сырники.
6. Обжариваем сырники до готовности на медленном огне, примерно 10 минут.
7. Подаем с вареньем.",сырники,интернациональная,25 мин,15 мин,4 порции,завтрак
https://food.ru/recipes/146169-bulochki-sinnabon-s-koricei,Булочки синнабон с корицей,https://cdn.food.ru/unsigned/fit/640/480/ce/0/czM6Ly9tZWRpYS9waWN0dXJlcy9yZWNpcGVzLzE0NjE2OS9jb3ZlcnMvVHRMbUpVLmpwZWc.jpg,340.6,6.89,12.5,52.07,"Пшеничная мука хлебопекарная 2 стакан = 260 г
Сухие дрожжи 1 ч. л. = 4 г
Куриное яйцо 1 шт. = 60 г
Молоко 125 мл = 125 г
Сахар 4 ст. л. = 100 г
Соль 0,5 ч. л. = 3,5 г
Растительное масло 1 ст. л. = 17 г
Тростниковый сахар 0,5 стакан = 90 г
Молотая корица 12 г
Сливочное масло 2 ст. л. = 40 г
Сливочный сыр 100 г
Сливочное масло 2 ст. л. = 40 г
Сахарная пудра 5 ст. л. = 125 г","1. Все ингредиенты выложите на стол, чтобы они согрелись до комнатной температуры. Сливочное масло растопите. Дрожжи разведите в разогретом до 40 градусов молоке с добавлением двух ложек сахара.
2. Сделайте тесто. Муку смешайте с солью и сахаром. Сделайте углубление и влейте яйцо, дрожжи с молоком и сливочное масло. Вымешивайте тесто до эластичного состояния. Скатайте в шар, смажьте растительным маслом, накройте влажным полотенцем и отправьте отдыхать 1-1,5 часа.
3. Сформируйте булочки. Раскатайте тесто в тонкий прямоугольник. Смажьте сливочным маслом, оставляя на одной стороне чистую полосу. Масло равномерно посыпьте корицей и сахаром. Сверните тесто в рулет, склеив чистой стороной. Разделите на части. Выложите на противень и оставьте на 30 минут. После чего выпекайте 30 минут при температуре 180 градусов.
4. Сделайте крем. Взбейте до однородности все ингредиенты для крема. Полейте горячие булочки. Оставьте на пять минут перед тем, как подать на стол.
5. Подайте булочки синнабон со свежезаваренным чаем или ароматным кофе.",синнабоны,интернациональная,120 мин,30 мин,6 порций,завтрак
